amount,hour,day_of_week,merchant_cat,merchant_risk_score,is_new_merchant,txn_per_day,avg_amount_7d,device_change,location_change,failed_txn_count,city,bank,is_weekend,is_fraud,txn_id,amount_to_avg_ratio,txn_date
984.25,8,1,transport,0.08,0,3,1670.08,0,0,0,Kolkata,Yes Bank,0,0,TXN0075721,0.589,2024-02-22
3085.42,18,3,grocery,0.05,1,2,1196.62,0,0,0,Ahmedabad,HDFC,0,0,TXN0080184,2.576,2024-02-25
5079.71,9,6,education,0.03,0,3,172.13,0,0,0,Chennai,Yes Bank,0,0,TXN0019864,29.34,2024-01-14
1036.15,12,3,education,0.03,0,5,1465.07,0,0,0,Ahmedabad,HDFC,0,0,TXN0076699,0.707,2024-02-23
2575.71,14,1,transport,0.08,0,2,550.14,0,0,2,Hyderabad,SBI,1,0,TXN0092991,4.673,2024-03-05
244.91,21,1,transport,0.08,1,2,4557.74,0,0,0,Pune,HDFC,0,0,TXN0076434,0.054,2024-02-23
1639.11,11,0,entertainment,0.22,0,2,1531.91,0,0,0,Ahmedabad,HDFC,0,0,TXN0084004,1.069,2024-02-28
943.06,20,0,healthcare,0.06,0,5,487.77,0,0,0,Mumbai,ICICI,0,0,TXN0080917,1.929,2024-02-26
1436.71,14,6,education,0.03,0,3,122.77,0,0,2,Mumbai,HDFC,0,0,TXN0060767,11.608,2024-02-12
473.66,13,4,transport,0.08,0,3,331.05,0,0,0,Chennai,ICICI,1,0,TXN0050074,1.426,2024-02-04
2344.76,22,1,other,0.12,0,2,856.18,0,0,0,Pune,Axis,0,0,TXN0027701,2.735,2024-01-20
1338.17,15,0,food,0.07,0,5,2024.22,0,0,0,Mumbai,HDFC,0,0,TXN0042141,0.661,2024-01-30
630.07,16,4,healthcare,0.06,0,1,1322.11,0,0,0,Pune,ICICI,0,0,TXN0045080,0.476,2024-02-01
3447.59,16,4,food,0.07,0,4,626.54,0,0,1,Ahmedabad,Kotak,0,0,TXN0016638,5.494,2024-01-12
393.47,21,2,other,0.12,1,1,1697.26,0,0,1,Delhi,HDFC,0,0,TXN0020424,0.232,2024-01-15
595.34,12,5,fuel,0.1,0,5,341.99,0,0,0,Mumbai,HDFC,0,0,TXN0088702,1.736,2024-03-02
958.55,15,5,transport,0.08,0,3,903.08,0,0,0,Ahmedabad,SBI,0,0,TXN0000149,1.06,2024-01-01
3372.36,11,3,travel,0.25,0,1,2836.74,0,0,0,Chennai,Yes Bank,0,0,TXN0001761,1.188,2024-01-02
740.81,14,6,education,0.03,0,1,1253.24,0,1,0,Hyderabad,SBI,1,0,TXN0063120,0.591,2024-02-13
2104.48,20,3,shopping,0.18,0,2,3888.94,0,0,0,Ahmedabad,Axis,0,0,TXN0069161,0.541,2024-02-18
324.64,21,1,transport,0.08,0,1,2881.75,0,0,0,Bengaluru,HDFC,0,0,TXN0064883,0.113,2024-02-15
1588.2,15,2,utility,0.04,0,2,383.69,0,0,0,Bengaluru,SBI,1,0,TXN0002495,4.129,2024-01-02
943.94,21,3,utility,0.04,1,5,436.92,0,0,0,Hyderabad,Yes Bank,0,0,TXN0080296,2.156,2024-02-25
2297.33,20,1,shopping,0.18,0,5,1480.4,0,0,0,Mumbai,Axis,0,0,TXN0019447,1.551,2024-01-14
219.5,12,2,grocery,0.05,0,1,2367.39,0,0,0,Ahmedabad,Axis,0,0,TXN0041331,0.093,2024-01-29
151.31,21,5,other,0.12,0,5,1326.16,0,0,0,Mumbai,HDFC,0,0,TXN0014888,0.114,2024-01-11
1381.93,16,2,food,0.07,0,2,2059.11,0,0,0,Mumbai,Yes Bank,0,0,TXN0088636,0.671,2024-03-02
395.44,7,5,grocery,0.05,0,3,513.46,0,0,0,Chennai,ICICI,0,0,TXN0094892,0.769,2024-03-06
3264.03,21,6,utility,0.04,0,4,1016.41,0,0,0,Hyderabad,Yes Bank,0,0,TXN0092731,3.208,2024-03-05
1608.73,21,0,fuel,0.1,0,3,938.22,0,0,0,Hyderabad,ICICI,1,0,TXN0029130,1.713,2024-01-21
4380.34,8,3,other,0.12,0,3,1837.17,0,0,1,Delhi,HDFC,0,0,TXN0079022,2.383,2024-02-24
2201.46,17,2,grocery,0.05,0,2,1144.14,0,0,0,Chennai,Kotak,0,0,TXN0084936,1.922,2024-02-28
4748.17,22,3,shopping,0.18,0,5,1376.98,0,0,2,Kolkata,Axis,0,0,TXN0016821,3.446,2024-01-12
2619.5,20,2,shopping,0.18,0,4,825.14,0,0,0,Kolkata,Kotak,0,0,TXN0036733,3.171,2024-01-26
544.66,9,3,shopping,0.18,0,5,785.19,0,0,0,Pune,HDFC,0,0,TXN0015602,0.693,2024-01-11
1024.45,14,6,healthcare,0.06,0,4,487.49,0,0,0,Mumbai,SBI,1,0,TXN0028533,2.097,2024-01-20
2534.97,8,6,food,0.07,0,2,2957.47,0,0,0,Mumbai,Axis,0,0,TXN0069769,0.857,2024-02-18
5497.39,21,1,shopping,0.18,0,5,1765.42,0,0,0,Mumbai,HDFC,0,0,TXN0011405,3.112,2024-01-08
41414.58,4,4,travel,0.25,1,17,1267.32,1,1,3,Pune,SBI,1,1,TXN0096852,32.653,2024-03-08
674.46,11,4,healthcare,0.06,0,1,1656.59,0,0,0,Chennai,Yes Bank,0,0,TXN0016130,0.407,2024-01-12
3922.6,10,0,utility,0.04,0,3,2202.58,0,0,0,Delhi,HDFC,0,0,TXN0019792,1.78,2024-01-14
508.94,11,2,other,0.12,1,2,2895.62,0,0,0,Ahmedabad,Axis,0,0,TXN0089577,0.176,2024-03-03
635.39,7,3,transport,0.08,0,4,1209.09,0,0,2,Delhi,HDFC,0,0,TXN0040163,0.525,2024-01-28
4722.33,7,6,grocery,0.05,1,5,3837.56,0,0,0,Kolkata,Axis,0,0,TXN0031776,1.23,2024-01-23
612.56,17,2,grocery,0.05,0,4,1602.58,0,0,0,Pune,HDFC,0,0,TXN0025330,0.382,2024-01-18
526.19,11,4,travel,0.25,0,2,1037.85,0,0,0,Mumbai,Yes Bank,0,0,TXN0079156,0.507,2024-02-24
914.56,20,0,shopping,0.18,0,5,1128.8,0,0,0,Ahmedabad,SBI,0,0,TXN0051685,0.809,2024-02-05
3053.06,16,3,other,0.12,1,3,3164.7,0,0,0,Chennai,ICICI,0,0,TXN0075498,0.964,2024-02-22
1048.03,20,6,travel,0.25,1,2,622.32,0,1,0,Pune,Axis,0,0,TXN0004727,1.681,2024-01-04
411.34,14,0,food,0.07,1,4,1403.73,0,0,0,Bengaluru,SBI,0,0,TXN0085198,0.293,2024-02-29
142.39,14,0,entertainment,0.22,0,4,904.57,0,0,0,Kolkata,Yes Bank,0,0,TXN0035795,0.157,2024-01-25
2763.69,20,5,food,0.07,0,4,3913.34,0,0,0,Pune,SBI,0,0,TXN0012256,0.706,2024-01-09
1171.26,7,3,other,0.12,0,3,1457.72,0,0,0,Hyderabad,HDFC,1,0,TXN0035718,0.803,2024-01-25
1148.22,11,0,healthcare,0.06,0,4,2138.13,0,0,0,Hyderabad,Kotak,0,0,TXN0070551,0.537,2024-02-18
10460.23,9,3,shopping,0.18,1,5,174.12,0,0,1,Pune,ICICI,1,0,TXN0054374,59.732,2024-02-07
978.8,15,2,shopping,0.18,0,1,576.52,0,0,0,Ahmedabad,Yes Bank,1,0,TXN0039691,1.695,2024-01-28
677.22,18,2,transport,0.08,1,3,4269.2,0,0,0,Ahmedabad,SBI,0,0,TXN0093702,0.159,2024-03-06
1366.01,16,3,utility,0.04,0,3,661.29,0,0,0,Chennai,SBI,1,0,TXN0073691,2.063,2024-02-21
73679.2,4,5,healthcare,0.06,1,21,116.98,1,1,0,Kolkata,SBI,1,1,TXN0098070,624.506,2024-03-09
1159.96,19,3,other,0.12,0,1,571.77,0,0,1,Chennai,Axis,0,0,TXN0000575,2.025,2024-01-01
1114.37,21,0,utility,0.04,0,2,378.72,0,0,0,Delhi,Axis,0,0,TXN0084610,2.935,2024-02-28
1728.96,18,1,food,0.07,0,5,137.97,0,0,0,Bengaluru,ICICI,0,0,TXN0061769,12.441,2024-02-12
683.17,17,4,utility,0.04,0,4,3842.03,0,0,2,Bengaluru,SBI,1,0,TXN0032260,0.178,2024-01-23
133.66,18,5,food,0.07,0,2,280.23,0,0,0,Delhi,Axis,1,0,TXN0082199,0.475,2024-02-27
3418.72,12,4,transport,0.08,0,5,8543.79,0,0,0,Chennai,HDFC,0,0,TXN0036290,0.4,2024-01-26
542.06,16,0,grocery,0.05,0,3,704.45,0,0,0,Chennai,HDFC,0,0,TXN0078449,0.768,2024-02-24
1609.44,18,5,transport,0.08,0,5,7847.76,0,0,2,Pune,HDFC,0,0,TXN0060055,0.205,2024-02-11
1282.51,18,1,education,0.03,1,2,631.32,0,0,0,Ahmedabad,Kotak,0,0,TXN0045948,2.028,2024-02-01
2387.26,14,3,transport,0.08,0,2,790.18,0,1,0,Pune,HDFC,0,0,TXN0028177,3.017,2024-01-20
2831.97,13,3,grocery,0.05,1,1,735.81,0,0,0,Ahmedabad,SBI,0,0,TXN0084463,3.844,2024-02-28
786.51,11,1,utility,0.04,0,5,1248.78,0,0,0,Kolkata,SBI,0,0,TXN0000578,0.629,2024-01-01
1110.09,18,2,travel,0.25,0,2,873.37,0,0,0,Ahmedabad,SBI,0,0,TXN0030959,1.27,2024-01-22
2691.32,8,2,grocery,0.05,0,3,2547.7,0,0,2,Kolkata,SBI,0,0,TXN0064290,1.056,2024-02-14
3234.22,15,5,other,0.12,0,3,388.67,0,0,0,Delhi,SBI,0,0,TXN0014531,8.3,2024-01-11
